"lon","lat","fnum","lat","lon","elev","zone"
687470.134920696,-105161.806167046,"72",-0.951017,-79.315267,124.545249938965,3
688656.279420628,-91502.1153101382,"74",-0.827483,-79.304667,166.815063476562,3
676601.901773391,-99526.6069070347,"76",-0.9001,-79.412933,96.483772277832,3
691210.920774102,-82577.6141315815,"78",-0.746767,-79.28175,265.441741943359,3
681232.640465497,-85045.1706268909,"80",-0.769117,-79.371383,145.661865234375,3
686431.186912576,-79276.7903102499,"82",-0.716933,-79.3247,223.817291259766,3
673689.901323582,-125447.006699425,"84",-1.134533,-79.438983,73.9019088745117,3
685753.146476351,-121316.366129097,"86",-1.097117,-79.330617,79.086181640625,3
677506.33986797,-113147.777230086,"88",-1.023283,-79.40475,81.1873168945312,3
680813.270162478,-98730.4413943602,"90",-0.892883,-79.3751,100.525550842285,3
685324.855185136,-106861.7767684,"92",-0.9664,-79.334533,114.545722961426,3
683398.090780554,-97382.5605555622,"94",-0.880683,-79.351883,113.675048828125,3
663186.386017139,-127761.647552476,"96",-1.155517,-79.53335,53.9743690490723,3
678066.156247488,-131173.478041218,"98",-1.1863,-79.399633,79.1267852783203,3
680956.574857597,-113374.419955234,"100",-1.025317,-79.37375,84.3049087524414,3
692209.936724581,-89489.3077676391,"104",-0.809267,-79.27275,193.821578979492,3
620457.962960539,-151219.63277428,"108",-1.367883,-79.917233,23.5461902618408,3
627469.528090737,-154902.532657827,"110",-1.401167,-79.8542,33.1121444702148,3
662787.27373851,-128465.309907186,"112",-1.161883,-79.536933,48.9457550048828,3
685113.201678438,-121240.374706501,"130",-1.096433,-79.336367,77.0243911743164,3
675122.499175486,-109720.735453489,"132",-0.9923,-79.426183,89.6548309326172,3
687759.424506024,-84456.1114507651,"134",-0.763767,-79.31275,224.04248046875,3
664597.420483471,-109597.902457718,"136",-0.991233,-79.52075,83.833251953125,3
685673.437375736,-124497.198979633,"138",-1.125883,-79.331317,70.3957595825195,3
665230.74255853,-107736.998917001,"140",-0.9744,-79.515067,83.5898361206055,3
661485.649721001,-144557.559730695,"144",-1.307433,-79.54855,42.972728729248,3
666028.742212819,-102584.878322145,"146",-0.9278,-79.507917,96.5446014404297,3
661881.641095485,-80917.7122145647,"148",-0.73185,-79.54525,116.499130249023,3
596335.263842403,-217959.891122075,"57",-1.971717,-80.133783,34.081127166748,2
